Code;Midpoint impact category;Unit;HH_H;ED_H;RA_H
CC;Climate change;kg CO2 eq;9.28E-07;2.80E-09;0
OD;Ozone depletion;kg CFC-11 eq;5.31E-04;3.03E-03;0
TA;Terrestrial acidification;kg SO2 eq;0;2.12E-07;0
FE;Freshwater eutrophication;kg P eq;0;4.44E-08;0
HT;Human toxicity;kg 1,4-DB eq;7.00E-07;0;0
POF;Photochemical oxidant formation;kg NMVOC;3.90E-08;0;0
PMF;Particulate matter formation;kg PM10 eq;2.60E-04;0;0
TET;Terrestrial ecotoxicity;kg 1,4-DB eq;0;1.51E-07;0
FET;Freshwater ecotoxicity;kg 1,4-DB eq;0;8.61E-10;0
MET;Marine ecotoxicity;kg 1,4-DB eq;0;1.76E-10;0
IR;Ionising radiation;kg U235 eq;1.64E-08;0;0
ALO;Agricultural land occupation;m2a;0;1.49E-08;0
ULO;Urban land occupation;m2a;0;2.05E-08;0
NLT;Natural land transformation;m2;0;1.92E-06;0
FD;Fossil depletion;kg oil eq;0;0;1.65E-01
MD;Metal depletion;kg Fe eq;0;0.00E+00;0.0715
ME;Marine eutrophication;kg N eq;0.00E+00;0;0
WD;Water depletion;m3;2.22E-06;1.35E-08;0
